,complexity,trueFunction,seed,tableLength,numGenerations,inferredFunc,numInputParameters
58,1,"sub(i0,r0)",1,40,200,"add(i0, mul(-1, r0))",1
59,1,"sub(i0,r0)",1,40,300,"add(i0, mul(-1, r0))",1
60,1,"sub(i0,r0)",1,60,100,"add(i0, mul(-1, r0))",1
61,1,"sub(i0,r0)",1,60,200,"add(i0, mul(-1, r0))",1
62,1,"sub(i0,r0)",1,60,300,"add(i0, mul(-1, r0))",1
63,1,"sub(i0,r0)",2,20,100,"add(i0, mul(-1, r0))",1
64,1,"sub(i0,r0)",2,20,200,"add(i0, mul(-1, r0))",1
65,1,"sub(i0,r0)",2,20,300,"add(i0, mul(-1, r0))",1
66,1,"sub(i0,r0)",2,40,100,"add(i0, mul(-1, r0))",1
67,1,"sub(i0,r0)",2,40,200,"add(i0, mul(-1, r0))",1
68,1,"sub(i0,r0)",2,40,300,"add(i0, mul(-1, r0))",1
69,1,"sub(i0,r0)",2,60,100,"add(i0, mul(-1, r0))",1
70,1,"sub(i0,r0)",2,60,200,"add(i0, mul(-1, r0))",1
71,1,"sub(i0,r0)",2,60,300,"add(i0, mul(-1, r0))",1
72,1,"sub(i0,r0)",3,20,100,"add(i0, mul(-1, r0))",1
73,1,"sub(i0,r0)",3,20,200,"add(i0, mul(-1, r0))",1
74,1,"sub(i0,r0)",3,20,300,"add(i0, mul(-1, r0))",1
75,1,"sub(i0,r0)",3,40,100,"add(i0, mul(-1, r0))",1
76,1,"sub(i0,r0)",3,40,200,"add(i0, mul(-1, r0))",1
77,1,"sub(i0,r0)",3,40,300,"add(i0, mul(-1, r0))",1
78,1,"sub(i0,r0)",3,60,100,"add(i0, mul(-1, r0))",1
79,1,"sub(i0,r0)",3,60,200,"add(i0, mul(-1, r0))",1
80,1,"sub(i0,r0)",3,60,300,"add(i0, mul(-1, r0))",1
81,1,"sub(i0,r0)",4,20,100,"add(i0, mul(-1, r0))",1
82,1,"sub(i0,r0)",4,20,200,"add(i0, mul(-1, r0))",1
83,1,"sub(i0,r0)",4,20,300,"add(i0, mul(-1, r0))",1
84,1,"sub(i0,r0)",4,40,100,"add(i0, mul(-1, r0))",1
85,1,"sub(i0,r0)",4,40,200,"add(i0, mul(-1, r0))",1
86,1,"sub(i0,r0)",4,40,300,"add(i0, mul(-1, r0))",1
87,1,"sub(i0,r0)",4,60,100,"add(i0, mul(-1, r0))",1
88,1,"sub(i0,r0)",4,60,200,"add(i0, mul(-1, r0))",1
89,1,"sub(i0,r0)",4,60,300,"add(i0, mul(-1, r0))",1
90,1,"mul(r0,i0)",0,20,100,"mul(i0, r0)",1
91,1,"mul(r0,i0)",0,20,200,"mul(i0, r0)",1
92,1,"mul(r0,i0)",0,20,300,"mul(i0, r0)",1
93,1,"mul(r0,i0)",0,40,100,"mul(i0, r0)",1
94,1,"mul(r0,i0)",0,40,200,"mul(i0, r0)",1
95,1,"mul(r0,i0)",0,40,300,"mul(i0, r0)",1
96,1,"mul(r0,i0)",0,60,100,"mul(i0, r0)",1
97,1,"mul(r0,i0)",0,60,200,"mul(i0, r0)",1
98,1,"mul(r0,i0)",0,60,300,"mul(i0, r0)",1
99,1,"mul(r0,i0)",1,20,100,"mul(i0, r0)",1
100,1,"mul(r0,i0)",1,20,200,"mul(i0, r0)",1
101,1,"mul(r0,i0)",1,20,300,"mul(i0, r0)",1
102,1,"mul(r0,i0)",1,40,100,"mul(i0, r0)",1
103,1,"mul(r0,i0)",1,40,200,"mul(i0, r0)",1
104,1,"mul(r0,i0)",1,40,300,"mul(i0, r0)",1
105,1,"mul(r0,i0)",1,60,100,"mul(i0, r0)",1
106,1,"mul(r0,i0)",1,60,200,"mul(i0, r0)",1
107,1,"mul(r0,i0)",1,60,300,"mul(i0, r0)",1
108,1,"mul(r0,i0)",2,20,100,"mul(i0, r0)",1
109,1,"mul(r0,i0)",2,20,200,"mul(i0, r0)",1
110,1,"mul(r0,i0)",2,20,300,"mul(i0, r0)",1
111,1,"mul(r0,i0)",2,40,100,"mul(i0, r0)",1
112,1,"mul(r0,i0)",2,40,200,"mul(i0, r0)",1
113,1,"mul(r0,i0)",2,40,300,"mul(i0, r0)",1
114,1,"mul(r0,i0)",2,60,100,"mul(i0, r0)",1
115,1,"mul(r0,i0)",2,60,200,"mul(i0, r0)",1
116,1,"mul(r0,i0)",2,60,300,"mul(i0, r0)",1
117,1,"mul(r0,i0)",3,20,100,"mul(i0, r0)",1
118,1,"mul(r0,i0)",3,20,200,"mul(i0, r0)",1
119,1,"mul(r0,i0)",3,20,300,"mul(i0, r0)",1
120,1,"mul(r0,i0)",3,40,100,"mul(i0, r0)",1
121,1,"mul(r0,i0)",3,40,200,"mul(i0, r0)",1
122,1,"mul(r0,i0)",3,40,300,"mul(i0, r0)",1
123,1,"mul(r0,i0)",3,60,100,"mul(i0, r0)",1
124,1,"mul(r0,i0)",3,60,200,"mul(i0, r0)",1
125,1,"mul(r0,i0)",3,60,300,"mul(i0, r0)",1
126,1,"mul(r0,i0)",4,20,100,"mul(i0, r0)",1
127,1,"mul(r0,i0)",4,20,200,"mul(i0, r0)",1
128,1,"mul(r0,i0)",4,20,300,"mul(i0, r0)",1
129,1,"mul(r0,i0)",4,40,100,"mul(i0, r0)",1
130,1,"mul(r0,i0)",4,40,200,"mul(i0, r0)",1
131,1,"mul(r0,i0)",4,40,300,"mul(i0, r0)",1
132,1,"mul(r0,i0)",4,60,100,"mul(i0, r0)",1
133,1,"mul(r0,i0)",4,60,200,"mul(i0, r0)",1
134,1,"mul(r0,i0)",4,60,300,"mul(i0, r0)",1
135,2,"add(r0,mul(i0,r0))",0,20,100,"add(r0, mul(i0, r0))",1
136,2,"add(r0,mul(i0,r0))",0,20,200,"add(r0, mul(i0, r0))",1
137,2,"add(r0,mul(i0,r0))",0,20,300,"add(r0, mul(i0, r0))",1
138,2,"add(r0,mul(i0,r0))",0,40,100,"add(mul(i0, r0), i0)",1
139,2,"add(r0,mul(i0,r0))",0,40,200,"add(mul(i0, r0), i0)",1
140,2,"add(r0,mul(i0,r0))",0,40,300,"add(r0, mul(i0, r0))",1
141,2,"add(r0,mul(i0,r0))",0,60,100,"add(mul(i0, r0), i0)",1
142,2,"add(r0,mul(i0,r0))",0,60,200,"add(mul(i0, r0), r0)",1
143,2,"add(r0,mul(i0,r0))",0,60,300,"add(mul(i0, r0), r0)",1
144,2,"add(r0,mul(i0,r0))",1,20,100,"mul(i0, r0)",1
145,2,"add(r0,mul(i0,r0))",1,20,200,"add(i0, mul(i0, r0))",1
146,2,"add(r0,mul(i0,r0))",1,20,300,"add(8, mul(i0, r0))",1
147,2,"add(r0,mul(i0,r0))",1,40,100,"add(r0, mul(i0, r0))",1
148,2,"add(r0,mul(i0,r0))",1,40,200,"add(r0, mul(i0, r0))",1
149,2,"add(r0,mul(i0,r0))",1,40,300,"add(r0, mul(i0, r0))",1
150,2,"add(r0,mul(i0,r0))",1,60,100,"add(mul(i0, r0), i0)",1
151,2,"add(r0,mul(i0,r0))",1,60,200,"add(r0, mul(i0, r0))",1
152,2,"add(r0,mul(i0,r0))",1,60,300,"add(r0, mul(i0, r0))",1
153,2,"add(r0,mul(i0,r0))",2,20,100,"add(r0, mul(i0, r0))",1
154,2,"add(r0,mul(i0,r0))",2,20,200,"add(r0, mul(i0, r0))",1
155,2,"add(r0,mul(i0,r0))",2,20,300,"add(r0, mul(i0, r0))",1
156,2,"add(r0,mul(i0,r0))",2,40,100,"add(i0, mul(i0, r0))",1
157,2,"add(r0,mul(i0,r0))",2,40,200,"add(mul(i0, r0), r0)",1
158,2,"add(r0,mul(i0,r0))",2,40,300,"add(mul(i0, r0), r0)",1
159,2,"add(r0,mul(i0,r0))",2,60,100,"add(i0, mul(i0, r0))",1
160,2,"add(r0,mul(i0,r0))",2,60,200,"add(mul(i0, r0), r0)",1
161,2,"add(r0,mul(i0,r0))",2,60,300,"add(mul(i0, r0), r0)",1
162,2,"add(r0,mul(i0,r0))",3,20,100,"add(r0, mul(i0, r0))",1
163,2,"add(r0,mul(i0,r0))",3,20,200,"add(r0, mul(i0, r0))",1
164,2,"add(r0,mul(i0,r0))",3,20,300,"add(r0, mul(i0, r0))",1
165,2,"add(r0,mul(i0,r0))",3,40,100,"add(mul(i0, r0), i0)",1
166,2,"add(r0,mul(i0,r0))",3,40,200,"add(mul(i0, r0), i0)",1
167,2,"add(r0,mul(i0,r0))",3,40,300,"add(3, mul(i0, r0))",1
168,2,"add(r0,mul(i0,r0))",3,60,100,"mul(i0, r0)",1
169,2,"add(r0,mul(i0,r0))",3,60,200,"add(mul(i0, r0), r0)",1
170,2,"add(r0,mul(i0,r0))",3,60,300,"add(mul(i0, r0), r0)",1
171,2,"add(r0,mul(i0,r0))",4,20,100,"add(mul(i0, r0), r0)",1
172,2,"add(r0,mul(i0,r0))",4,20,200,"add(mul(i0, r0), r0)",1
173,2,"add(r0,mul(i0,r0))",4,20,300,"add(mul(i0, r0), r0)",1
174,2,"add(r0,mul(i0,r0))",4,40,100,"add(r0, mul(i0, r0))",1
175,2,"add(r0,mul(i0,r0))",4,40,200,"add(r0, mul(i0, r0))",1
176,2,"add(r0,mul(i0,r0))",4,40,300,"add(r0, mul(i0, r0))",1
177,2,"add(r0,mul(i0,r0))",4,60,100,"add(r0, mul(i0, r0))",1
178,2,"add(r0,mul(i0,r0))",4,60,200,"add(r0, mul(i0, r0))",1
179,2,"add(r0,mul(i0,r0))",4,60,300,"add(r0, mul(i0, r0))",1
180,2,"add(i0,mul(i0,r0))",0,20,100,"add(i0, mul(i0, r0))",1
181,2,"add(i0,mul(i0,r0))",0,20,200,"add(i0, mul(i0, r0))",1
182,2,"add(i0,mul(i0,r0))",0,20,300,"add(i0, mul(i0, r0))",1
183,2,"add(i0,mul(i0,r0))",0,40,100,"add(mul(i0, r0), r0)",1
184,2,"add(i0,mul(i0,r0))",0,40,200,"add(mul(i0, r0), i0)",1
185,2,"add(i0,mul(i0,r0))",0,40,300,"add(mul(i0, r0), i0)",1
186,2,"add(i0,mul(i0,r0))",0,60,100,"add(mul(i0, r0), i0)",1
187,2,"add(i0,mul(i0,r0))",0,60,200,"add(mul(i0, r0), i0)",1
188,2,"add(i0,mul(i0,r0))",0,60,300,"add(mul(i0, r0), i0)",1
189,2,"add(i0,mul(i0,r0))",1,20,100,"add(mul(i0, r0), i0)",1
190,2,"add(i0,mul(i0,r0))",1,20,200,"add(mul(i0, r0), i0)",1
191,2,"add(i0,mul(i0,r0))",1,20,300,"add(mul(i0, r0), i0)",1
192,2,"add(i0,mul(i0,r0))",1,40,100,"add(i0, mul(i0, r0))",1
193,2,"add(i0,mul(i0,r0))",1,40,200,"add(i0, mul(i0, r0))",1
194,2,"add(i0,mul(i0,r0))",1,40,300,"add(i0, mul(i0, r0))",1
195,2,"add(i0,mul(i0,r0))",1,60,100,"add(mul(i0, r0), i0)",1
196,2,"add(i0,mul(i0,r0))",1,60,200,"add(mul(i0, r0), i0)",1
197,2,"add(i0,mul(i0,r0))",1,60,300,"add(mul(i0, r0), i0)",1
198,2,"add(i0,mul(i0,r0))",2,20,100,"add(mul(i0, r0), r0)",1
199,2,"add(i0,mul(i0,r0))",2,20,200,"add(i0, mul(i0, r0))",1
200,2,"add(i0,mul(i0,r0))",2,20,300,"add(i0, mul(i0, r0))",1
201,2,"add(i0,mul(i0,r0))",2,40,100,"add(i0, mul(i0, r0))",1
202,2,"add(i0,mul(i0,r0))",2,40,200,"add(i0, mul(i0, r0))",1
203,2,"add(i0,mul(i0,r0))",2,40,300,"add(i0, mul(i0, r0))",1
204,2,"add(i0,mul(i0,r0))",2,60,100,"add(mul(i0, r0), r0)",1
205,2,"add(i0,mul(i0,r0))",2,60,200,"add(i0, mul(i0, r0))",1
206,2,"add(i0,mul(i0,r0))",2,60,300,"add(i0, mul(i0, r0))",1
207,2,"add(i0,mul(i0,r0))",3,20,100,"add(mul(i0, r0), i0)",1
208,2,"add(i0,mul(i0,r0))",3,20,200,"add(mul(i0, r0), i0)",1
209,2,"add(i0,mul(i0,r0))",3,20,300,"add(mul(i0, r0), i0)",1
210,2,"add(i0,mul(i0,r0))",3,40,100,"mul(i0, r0)",1
211,2,"add(i0,mul(i0,r0))",3,40,200,"mul(i0, r0)",1
212,2,"add(i0,mul(i0,r0))",3,40,300,"mul(i0, add(1, r0))",1
213,2,"add(i0,mul(i0,r0))",3,60,100,"add(i0, mul(i0, r0))",1
214,2,"add(i0,mul(i0,r0))",3,60,200,"add(i0, mul(i0, r0))",1
215,2,"add(i0,mul(i0,r0))",3,60,300,"add(i0, mul(i0, r0))",1
216,2,"add(i0,mul(i0,r0))",4,20,100,"add(mul(i0, r0), i0)",1
217,2,"add(i0,mul(i0,r0))",4,20,200,"add(mul(i0, r0), i0)",1
218,2,"add(i0,mul(i0,r0))",4,20,300,"add(mul(i0, r0), i0)",1
219,2,"add(i0,mul(i0,r0))",4,40,100,"add(mul(i0, r0), i0)",1
220,2,"add(i0,mul(i0,r0))",4,40,200,"add(mul(i0, r0), i0)",1
221,2,"add(i0,mul(i0,r0))",4,40,300,"add(mul(i0, r0), i0)",1
222,2,"add(i0,mul(i0,r0))",4,60,100,"add(i0, mul(i0, r0))",1
223,2,"add(i0,mul(i0,r0))",4,60,200,"add(i0, mul(i0, r0))",1
224,2,"add(i0,mul(i0,r0))",4,60,300,"add(i0, mul(i0, r0))",1
225,2,"add(r0,mul(i0,r0))",0,20,100,"add(mul(i0, r0), r0)",1
226,2,"add(r0,mul(i0,r0))",0,20,200,"add(mul(i0, r0), r0)",1
227,2,"add(r0,mul(i0,r0))",0,20,300,"add(mul(i0, r0), r0)",1
228,2,"add(r0,mul(i0,r0))",0,40,100,"add(mul(i0, r0), r0)",1
229,2,"add(r0,mul(i0,r0))",0,40,200,"add(mul(i0, r0), r0)",1
230,2,"add(r0,mul(i0,r0))",0,40,300,"add(mul(i0, r0), r0)",1
231,2,"add(r0,mul(i0,r0))",0,60,100,"add(i0, mul(i0, r0))",1
232,2,"add(r0,mul(i0,r0))",0,60,200,"add(i0, mul(i0, r0))",1
233,2,"add(r0,mul(i0,r0))",0,60,300,"add(mul(i0, r0), r0)",1
234,2,"add(r0,mul(i0,r0))",1,20,100,"add(i0, mul(i0, r0))",1
235,2,"add(r0,mul(i0,r0))",1,20,200,"add(i0, mul(i0, r0))",1
236,2,"add(r0,mul(i0,r0))",1,20,300,"add(r0, mul(i0, r0))",1
237,2,"add(r0,mul(i0,r0))",1,40,100,"add(r0, mul(i0, r0))",1
238,2,"add(r0,mul(i0,r0))",1,40,200,"add(r0, mul(i0, r0))",1
239,2,"add(r0,mul(i0,r0))",1,40,300,"add(r0, mul(i0, r0))",1
240,2,"add(r0,mul(i0,r0))",1,60,100,"add(r0, mul(i0, r0))",1
241,2,"add(r0,mul(i0,r0))",1,60,200,"add(r0, mul(i0, r0))",1
242,2,"add(r0,mul(i0,r0))",1,60,300,"add(r0, mul(i0, r0))",1
243,2,"add(r0,mul(i0,r0))",2,20,100,"add(r0, mul(i0, r0))",1
244,2,"add(r0,mul(i0,r0))",2,20,200,"add(r0, mul(i0, r0))",1
245,2,"add(r0,mul(i0,r0))",2,20,300,"add(r0, mul(i0, r0))",1
246,2,"add(r0,mul(i0,r0))",2,40,100,"add(r0, mul(i0, r0))",1
247,2,"add(r0,mul(i0,r0))",2,40,200,"add(r0, mul(i0, r0))",1
248,2,"add(r0,mul(i0,r0))",2,40,300,"add(r0, mul(i0, r0))",1
249,2,"add(r0,mul(i0,r0))",2,60,100,"add(8, mul(i0, r0))",1
250,2,"add(r0,mul(i0,r0))",2,60,200,"add(mul(i0, r0), r0)",1
251,2,"add(r0,mul(i0,r0))",2,60,300,"add(mul(i0, r0), r0)",1
252,2,"add(r0,mul(i0,r0))",3,20,100,"add(8, mul(i0, r0))",1
253,2,"add(r0,mul(i0,r0))",3,20,200,"add(8, mul(i0, r0))",1
254,2,"add(r0,mul(i0,r0))",3,20,300,"add(mul(i0, r0), r0)",1
255,2,"add(r0,mul(i0,r0))",3,40,100,"add(mul(i0, r0), r0)",1
256,2,"add(r0,mul(i0,r0))",3,40,200,"add(mul(i0, r0), r0)",1
257,2,"add(r0,mul(i0,r0))",3,40,300,"add(mul(i0, r0), r0)",1
258,2,"add(r0,mul(i0,r0))",3,60,100,"add(r0, mul(i0, r0))",1
259,2,"add(r0,mul(i0,r0))",3,60,200,"add(r0, mul(i0, r0))",1
260,2,"add(r0,mul(i0,r0))",3,60,300,"add(r0, mul(i0, r0))",1
261,2,"add(r0,mul(i0,r0))",4,20,100,"add(6, add(mul(i0, r0), mul(-1, r0)))",1
262,2,"add(r0,mul(i0,r0))",4,20,200,"add(mul(i0, r0), r0)",1
263,2,"add(r0,mul(i0,r0))",4,20,300,"add(mul(i0, r0), r0)",1
264,2,"add(r0,mul(i0,r0))",4,40,100,"add(r0, mul(i0, r0))",1
265,2,"add(r0,mul(i0,r0))",4,40,200,"add(r0, mul(i0, r0))",1
266,2,"add(r0,mul(i0,r0))",4,40,300,"add(r0, mul(i0, r0))",1
267,2,"add(r0,mul(i0,r0))",4,60,100,"add(mul(i0, r0), i0)",1
268,2,"add(r0,mul(i0,r0))",4,60,200,"add(r0, mul(i0, r0))",1
269,2,"add(r0,mul(i0,r0))",4,60,300,"add(r0, mul(i0, r0))",1
270,3,"add(r0,add(i0,mul(i0,r0)))",0,20,100,"add(r0, mul(i0, r0))",1
271,3,"add(r0,add(i0,mul(i0,r0)))",0,20,200,"add(mul(-2, i0), mul(-1, mul(i0, r0)))",1
272,3,"add(r0,add(i0,mul(i0,r0)))",0,20,300,"add(mul(i0, r0), add(r0, i0))",1
273,3,"add(r0,add(i0,mul(i0,r0)))",0,40,100,"add(r0, mul(i0, r0))",1
274,3,"add(r0,add(i0,mul(i0,r0)))",0,40,200,"add(r0, mul(i0, r0))",1
275,3,"add(r0,add(i0,mul(i0,r0)))",0,40,300,"mul(r0, add(2, i0))",1
276,3,"add(r0,add(i0,mul(i0,r0)))",0,60,100,"add(i0, mul(i0, r0))",1
277,3,"add(r0,add(i0,mul(i0,r0)))",0,60,200,"add(mul(i0, r0), mul(2, i0))",1
278,3,"add(r0,add(i0,mul(i0,r0)))",0,60,300,"add(mul(i0, r0), mul(2, i0))",1
279,3,"add(r0,add(i0,mul(i0,r0)))",1,20,100,"mul(i0, add(2, r0))",1
280,3,"add(r0,add(i0,mul(i0,r0)))",1,20,200,"mul(i0, add(2, r0))",1
281,3,"add(r0,add(i0,mul(i0,r0)))",1,20,300,"mul(i0, add(2, r0))",1
282,3,"add(r0,add(i0,mul(i0,r0)))",1,40,100,"add(r0, mul(i0, r0))",1
283,3,"add(r0,add(i0,mul(i0,r0)))",1,40,200,"add(i0, add(r0, mul(i0, r0)))",1
284,3,"add(r0,add(i0,mul(i0,r0)))",1,40,300,"add(i0, add(r0, mul(i0, r0)))",1
285,3,"add(r0,add(i0,mul(i0,r0)))",1,60,100,"add(mul(i0, r0), i0)",1
286,3,"add(r0,add(i0,mul(i0,r0)))",1,60,200,"add(mul(i0, r0), i0)",1
287,3,"add(r0,add(i0,mul(i0,r0)))",1,60,300,"add(mul(i0, r0), add(i0, r0))",1
288,3,"add(r0,add(i0,mul(i0,r0)))",2,20,100,"mul(r0, add(2, i0))",1
289,3,"add(r0,add(i0,mul(i0,r0)))",2,20,200,"mul(r0, add(2, i0))",1
290,3,"add(r0,add(i0,mul(i0,r0)))",2,20,300,"add(7, add(i0, mul(i0, r0)))",1
291,3,"add(r0,add(i0,mul(i0,r0)))",2,40,100,"mul(i0, add(1, r0))",1
292,3,"add(r0,add(i0,mul(i0,r0)))",2,40,200,"add(r0, mul(i0, r0))",1
293,3,"add(r0,add(i0,mul(i0,r0)))",2,40,300,"mul(i0, add(2, r0))",1
294,3,"add(r0,add(i0,mul(i0,r0)))",2,60,100,"add(i0, mul(i0, r0))",1
295,3,"add(r0,add(i0,mul(i0,r0)))",2,60,200,"add(i0, mul(i0, r0))",1
296,3,"add(r0,add(i0,mul(i0,r0)))",2,60,300,"add(i0, mul(i0, r0))",1
297,3,"add(r0,add(i0,mul(i0,r0)))",3,20,100,"add(mul(i0, r0), mul(2, i0))",1
298,3,"add(r0,add(i0,mul(i0,r0)))",3,20,200,"add(3, add(mul(i0, r0), i0))",1
299,3,"add(r0,add(i0,mul(i0,r0)))",3,20,300,"add(r0, add(i0, mul(i0, r0)))",1
300,3,"add(r0,add(i0,mul(i0,r0)))",3,40,100,"add(r0, mul(i0, r0))",1
301,3,"add(r0,add(i0,mul(i0,r0)))",3,40,200,"add(r0, mul(i0, r0))",1
302,3,"add(r0,add(i0,mul(i0,r0)))",3,40,300,"add(r0, add(mul(i0, r0), i0))",1
303,3,"add(r0,add(i0,mul(i0,r0)))",3,60,100,"add(mul(i0, r0), add(r0, i0))",1
304,3,"add(r0,add(i0,mul(i0,r0)))",3,60,200,"add(mul(i0, r0), add(r0, i0))",1
305,3,"add(r0,add(i0,mul(i0,r0)))",3,60,300,"add(mul(i0, r0), add(r0, i0))",1
306,3,"add(r0,add(i0,mul(i0,r0)))",4,20,100,"add(mul(i0, r0), r0)",1
307,3,"add(r0,add(i0,mul(i0,r0)))",4,20,200,"add(7, mul(i0, r0))",1
308,3,"add(r0,add(i0,mul(i0,r0)))",4,20,300,"add(13, mul(i0, r0))",1
309,3,"add(r0,add(i0,mul(i0,r0)))",4,40,100,"add(r0, mul(i0, r0))",1
310,3,"add(r0,add(i0,mul(i0,r0)))",4,40,200,"add(mul(2, r0), mul(i0, r0))",1
311,3,"add(r0,add(i0,mul(i0,r0)))",4,40,300,"add(8, add(i0, mul(i0, r0)))",1
312,3,"add(r0,add(i0,mul(i0,r0)))",4,60,100,"add(mul(i0, r0), i0)",1
313,3,"add(r0,add(i0,mul(i0,r0)))",4,60,200,"add(r0, add(i0, mul(i0, r0)))",1
314,3,"add(r0,add(i0,mul(i0,r0)))",4,60,300,"add(r0, add(i0, mul(i0, r0)))",1
315,3,"add(i0,add(i0,mul(i0,r0)))",0,20,100,"add(mul(i0, r0), i0)",1
316,3,"add(i0,add(i0,mul(i0,r0)))",0,20,200,"add(5, add(mul(i0, r0), i0))",1
317,3,"add(i0,add(i0,mul(i0,r0)))",0,20,300,"add(5, add(mul(i0, r0), i0))",1
318,3,"add(i0,add(i0,mul(i0,r0)))",0,40,100,"add(mul(i0, r0), i0)",1
319,3,"add(i0,add(i0,mul(i0,r0)))",0,40,200,"add(mul(i0, r0), i0)",1
320,3,"add(i0,add(i0,mul(i0,r0)))",0,40,300,"add(mul(i0, r0), i0)",1
321,3,"add(i0,add(i0,mul(i0,r0)))",0,60,100,"add(mul(i0, r0), i0)",1
322,3,"add(i0,add(i0,mul(i0,r0)))",0,60,200,"add(mul(i0, r0), i0)",1
323,3,"add(i0,add(i0,mul(i0,r0)))",0,60,300,"add(5, add(mul(i0, r0), i0))",1
324,3,"add(i0,add(i0,mul(i0,r0)))",1,20,100,"add(mul(i0, r0), i0)",1
325,3,"add(i0,add(i0,mul(i0,r0)))",1,20,200,"add(mul(i0, r0), i0)",1
