tid,r0,r1,r2,r3,i0,target
144,tea,200,100,100,50,Reject
145,tea,200,100,100,200,Reject
146,tea,10,100,100,200,Reject
147,coffee,10,60,100,50,Reject
151,coffee,200,90,100,100,Reject
152,coffee,50,90,100,100,Reject
153,coffee,100,90,100,200,Reject
155,coffee,10,100,100,10,Reject
156,tea,10,10,100,200,Reject
157,tea,200,10,100,100,Reject
160,tea,10,20,100,200,Reject
164,tea,10,90,100,100,Reject
165,tea,100,90,100,50,Reject
167,tea,50,90,100,100,Reject
168,tea,100,90,100,100,Reject
169,tea,100,90,100,200,Reject
170,tea,200,90,100,100,Reject
172,tea,200,100,100,100,Reject
173,tea,50,100,100,50,Reject
175,coffee,100,70,100,200,Reject
178,coffee,50,80,100,200,Reject
179,coffee,10,90,100,50,Reject
183,coffee,10,20,100,100,Reject
185,coffee,200,80,100,100,Reject
187,coffee,100,90,100,100,Reject
189,tea,50,60,100,50,Reject
191,tea,50,60,100,200,Reject
194,tea,10,70,100,200,Reject
195,tea,200,70,100,50,Reject
196,tea,50,70,100,200,Reject
198,tea,200,70,100,100,Reject
199,tea,100,70,100,100,Reject
200,tea,100,70,100,50,Reject
202,tea,10,80,100,100,Reject
205,tea,50,90,100,50,Reject
206,tea,50,90,100,200,Reject
208,tea,200,90,100,50,Reject
213,tea,10,100,100,100,Reject
214,tea,100,100,100,10,Reject
215,coffee,100,100,100,50,Reject
216,coffee,200,100,100,200,Reject
219,coffee,10,30,100,200,Reject
222,tea,200,10,100,200,Reject
227,tea,10,80,100,200,Reject
230,tea,50,100,100,10,Reject
231,coffee,100,60,100,200,Reject
233,coffee,100,80,100,50,Reject
234,coffee,200,90,100,50,Reject
236,coffee,200,100,100,50,Reject
237,tea,50,50,100,100,Reject
239,tea,10,60,100,200,Reject
240,tea,200,60,100,200,Reject
241,tea,200,60,100,100,Reject
242,tea,100,60,100,100,Reject
244,tea,200,80,100,50,Reject
245,tea,50,80,100,50,Reject
246,tea,50,80,100,100,Reject
247,tea,200,20,100,200,Reject
249,tea,100,80,100,100,Reject
250,tea,100,80,100,200,Reject
251,tea,50,50,100,200,Reject
252,tea,200,50,100,200,Reject
253,tea,200,50,100,100,Reject
254,tea,100,50,100,100,Reject
257,tea,10,70,100,50,Reject
261,tea,10,80,100,50,Reject
262,tea,10,90,100,50,Reject
263,tea,100,10,100,200,Reject
265,tea,50,60,100,100,Reject
266,tea,10,70,100,100,Reject
267,tea,200,80,100,200,Reject
268,tea,200,80,100,100,Reject
270,coffee,10,90,100,200,Reject
271,coffee,200,90,100,200,Reject
