mu_size,lambda_size,generation_size,mutation_prob,max_init_depth,max_depth,fitness_type,levenshtein_distance,total_wrong
50,10,50,0.25,3,10,step,2,2
50,10,50,0.25,3,10,continuous,2,2
50,10,50,0.25,7,15,step,2,2
50,10,50,0.25,7,15,continuous,2,2
50,10,50,0.5,1,5,step,2,2
50,10,50,0.5,1,5,continuous,2,2
50,10,50,0.5,3,10,step,2,2
50,10,50,0.5,3,10,continuous,2,2
50,10,50,0.5,7,15,step,2,2
50,10,50,0.5,7,15,continuous,2,2
50,10,50,0.75,1,5,step,2,2
50,10,50,0.75,1,5,continuous,2,2
50,10,50,0.75,3,10,step,2,2
50,10,50,0.75,3,10,continuous,2,2
50,10,50,0.75,7,15,step,2,2
50,10,50,0.75,7,15,continuous,2,2
50,10,100,0.25,1,5,step,2,2
50,10,100,0.25,1,5,continuous,2,2
50,10,100,0.25,3,10,step,2,2
50,10,100,0.25,3,10,continuous,2,2
50,10,100,0.25,7,15,step,2,2
50,10,100,0.25,7,15,continuous,2,2
50,10,100,0.5,1,5,step,2,2
50,10,100,0.5,1,5,continuous,2,2
50,10,100,0.5,3,10,step,2,2
50,10,100,0.5,3,10,continuous,2,2
50,10,100,0.5,7,15,step,2,2
50,10,100,0.5,7,15,continuous,2,2
50,10,100,0.75,1,5,step,2,2
50,10,100,0.75,1,5,continuous,2,2
50,10,100,0.75,3,10,step,2,2
50,10,100,0.75,3,10,continuous,2,2
50,10,100,0.75,7,15,step,2,2
50,10,100,0.75,7,15,continuous,2,2
50,10,150,0.25,1,5,step,2,2
50,10,150,0.25,1,5,continuous,2,2
50,10,150,0.25,3,10,step,2,2
50,10,150,0.25,3,10,continuous,2,2
50,10,150,0.25,7,15,step,2,2
50,10,150,0.25,7,15,continuous,2,2
50,10,150,0.5,1,5,step,2,2
50,10,150,0.5,1,5,continuous,2,2
50,10,150,0.5,3,10,step,2,2
50,10,150,0.5,3,10,continuous,2,2
50,10,150,0.5,7,15,step,2,2
50,10,150,0.5,7,15,continuous,2,2
50,10,150,0.75,1,5,step,2,2
50,10,150,0.75,1,5,continuous,2,2
50,10,150,0.75,3,10,step,2,2
50,10,150,0.75,3,10,continuous,2,2
50,10,150,0.75,7,15,step,2,2
50,10,150,0.75,7,15,continuous,2,2
50,25,50,0.25,1,5,step,2,2
50,25,50,0.25,1,5,continuous,2,2
50,25,50,0.25,3,10,step,2,2
50,25,50,0.25,3,10,continuous,2,2
50,25,50,0.25,7,15,step,2,3
50,25,50,0.25,7,15,continuous,2,3
50,25,50,0.5,1,5,step,2,2
50,25,50,0.5,1,5,continuous,2,2
50,25,50,0.5,3,10,step,2,2
50,25,50,0.5,3,10,continuous,2,2
50,25,50,0.5,7,15,step,2,2
50,25,50,0.5,7,15,continuous,2,2
50,25,50,0.75,1,5,step,2,2
50,25,50,0.75,1,5,continuous,2,2
50,25,50,0.75,3,10,step,2,2
50,25,50,0.75,3,10,continuous,2,2
50,25,50,0.75,7,15,step,2,3
50,25,50,0.75,7,15,continuous,2,3
50,25,100,0.25,1,5,step,2,2
50,25,100,0.25,1,5,continuous,2,2
50,25,100,0.25,3,10,step,2,2
50,25,100,0.25,3,10,continuous,2,2
50,25,100,0.25,7,15,step,2,3
50,25,100,0.25,7,15,continuous,2,3
50,25,100,0.5,1,5,step,2,1
50,25,100,0.5,1,5,continuous,2,1
50,25,100,0.5,3,10,step,2,2
50,25,100,0.5,3,10,continuous,2,2
50,25,100,0.5,7,15,step,2,2
50,25,100,0.5,7,15,continuous,2,2
50,25,100,0.75,1,5,step,2,2
50,25,100,0.75,1,5,continuous,2,2
50,25,100,0.75,3,10,step,2,2
50,25,100,0.75,3,10,continuous,2,2
50,25,100,0.75,7,15,step,2,3
50,25,100,0.75,7,15,continuous,2,3
50,25,150,0.25,1,5,step,2,2
50,25,150,0.25,1,5,continuous,2,2
50,25,150,0.25,3,10,step,2,2
50,25,150,0.25,3,10,continuous,2,2
50,25,150,0.25,7,15,step,2,3
50,25,150,0.25,7,15,continuous,2,3
50,25,150,0.5,1,5,step,2,1
50,25,150,0.5,1,5,continuous,2,1
50,25,150,0.5,3,10,step,2,2
50,25,150,0.5,3,10,continuous,2,2
50,25,150,0.5,7,15,step,2,2
50,25,150,0.5,7,15,continuous,2,2
50,25,150,0.75,1,5,step,2,2
50,25,150,0.75,1,5,continuous,2,2
50,25,150,0.75,3,10,step,2,2
50,25,150,0.75,3,10,continuous,2,2
50,25,150,0.75,7,15,step,2,3
50,25,150,0.75,7,15,continuous,2,3
100,5,50,0.25,1,5,step,2,2
100,5,50,0.25,1,5,continuous,2,2
100,5,50,0.25,3,10,step,2,2
100,5,50,0.25,3,10,continuous,2,2
100,5,50,0.25,7,15,step,2,2
100,5,50,0.25,7,15,continuous,2,2
100,5,50,0.5,1,5,step,2,2
100,5,50,0.5,1,5,continuous,2,2
100,5,50,0.5,3,10,step,2,2
100,5,50,0.5,3,10,continuous,2,2
100,5,50,0.5,7,15,step,2,2
100,5,50,0.5,7,15,continuous,2,2
100,5,50,0.75,1,5,step,2,2
100,5,50,0.75,1,5,continuous,2,2
100,5,50,0.75,3,10,step,2,3
100,5,50,0.75,3,10,continuous,2,3
100,5,50,0.75,7,15,step,2,2
100,5,50,0.75,7,15,continuous,2,2
100,5,100,0.25,1,5,step,2,2
100,5,100,0.25,1,5,continuous,2,2
100,5,100,0.25,3,10,step,2,2
100,5,100,0.25,3,10,continuous,2,2
100,5,100,0.25,7,15,step,2,2
100,5,100,0.25,7,15,continuous,2,2
100,5,100,0.5,1,5,step,2,2
100,5,100,0.5,1,5,continuous,2,2
100,5,100,0.5,3,10,step,2,2
100,5,100,0.5,3,10,continuous,2,2
100,5,100,0.5,7,15,step,2,2
100,5,100,0.5,7,15,continuous,2,2
100,5,100,0.75,1,5,step,2,2
100,5,100,0.75,1,5,continuous,2,2
100,5,100,0.75,3,10,step,2,3
100,5,100,0.75,3,10,continuous,2,3
100,5,100,0.75,7,15,step,2,2
100,5,100,0.75,7,15,continuous,2,2
100,5,150,0.25,1,5,step,2,2
100,5,150,0.25,1,5,continuous,2,2
100,5,150,0.25,3,10,step,2,2
100,5,150,0.25,3,10,continuous,2,2
100,5,150,0.25,7,15,step,2,2
100,5,150,0.25,7,15,continuous,2,2
100,5,150,0.5,1,5,step,2,2
100,5,150,0.5,1,5,continuous,2,2
100,5,150,0.5,3,10,step,2,2
100,5,150,0.5,3,10,continuous,2,2
100,5,150,0.5,7,15,step,2,2
100,5,150,0.5,7,15,continuous,2,2
100,5,150,0.75,1,5,step,2,2
100,5,150,0.75,1,5,continuous,2,2
100,5,150,0.75,3,10,step,2,3
100,5,150,0.75,3,10,continuous,2,3
100,5,150,0.75,7,15,step,2,2
100,5,150,0.75,7,15,continuous,2,2
100,10,50,0.25,1,5,step,2,2
100,10,50,0.25,1,5,continuous,2,2
100,10,50,0.25,3,10,step,2,2
100,10,50,0.25,3,10,continuous,2,2
100,10,50,0.25,7,15,step,2,2
100,10,50,0.25,7,15,continuous,2,2
100,10,50,0.5,1,5,step,2,2
100,10,50,0.5,1,5,continuous,2,2
100,10,50,0.5,3,10,step,2,2
100,10,50,0.5,3,10,continuous,2,2
100,10,50,0.5,7,15,step,2,2
100,10,50,0.5,7,15,continuous,2,2
100,10,50,0.75,1,5,step,2,2
100,10,50,0.75,1,5,continuous,2,2
100,10,50,0.75,3,10,step,2,2
100,10,50,0.75,3,10,continuous,2,2
100,10,50,0.75,7,15,step,2,2
100,10,50,0.75,7,15,continuous,2,2
100,10,100,0.25,1,5,step,2,2
100,10,100,0.25,1,5,continuous,2,2
100,10,100,0.25,3,10,step,2,2
100,10,100,0.25,3,10,continuous,2,2
100,10,100,0.25,7,15,step,2,2
100,10,100,0.25,7,15,continuous,2,2
100,10,100,0.5,1,5,step,2,2
100,10,100,0.5,1,5,continuous,2,2
100,10,100,0.5,3,10,step,2,2
100,10,100,0.5,3,10,continuous,2,2
100,10,100,0.5,7,15,step,2,2
100,10,100,0.5,7,15,continuous,2,2
100,10,100,0.75,1,5,step,2,2
100,10,100,0.75,1,5,continuous,2,2
100,10,100,0.75,3,10,step,2,2
100,10,100,0.75,3,10,continuous,2,2
100,10,100,0.75,7,15,step,2,2
100,10,100,0.75,7,15,continuous,2,2
100,10,150,0.25,1,5,step,2,2
100,10,150,0.25,1,5,continuous,2,2
100,10,150,0.25,3,10,step,2,2
100,10,150,0.25,3,10,continuous,2,2
100,10,150,0.25,7,15,step,2,2
100,10,150,0.25,7,15,continuous,2,2
100,10,150,0.5,1,5,step,2,2
100,10,150,0.5,1,5,continuous,2,2
100,10,150,0.5,3,10,step,2,2
100,10,150,0.5,3,10,continuous,2,2
100,10,150,0.5,7,15,step,2,2
100,10,150,0.5,7,15,continuous,2,2
100,10,150,0.75,1,5,step,2,2
100,10,150,0.75,1,5,continuous,2,2
100,10,150,0.75,3,10,step,2,2
100,10,150,0.75,3,10,continuous,2,2
100,10,150,0.75,7,15,step,2,2
100,10,150,0.75,7,15,continuous,2,2
100,25,50,0.25,1,5,step,2,2
100,25,50,0.25,1,5,continuous,2,2
100,25,50,0.25,3,10,step,2,2
100,25,50,0.25,3,10,continuous,2,2
100,25,50,0.25,7,15,step,2,2
100,25,50,0.25,7,15,continuous,2,2
100,25,50,0.5,1,5,step,2,2
100,25,50,0.5,1,5,continuous,2,2
100,25,50,0.5,3,10,step,2,2
100,25,50,0.5,3,10,continuous,2,2
100,25,50,0.5,7,15,step,2,2
100,25,50,0.5,7,15,continuous,2,2
100,25,50,0.75,1,5,step,2,2
100,25,50,0.75,1,5,continuous,2,2
100,25,50,0.75,3,10,step,2,2
100,25,50,0.75,3,10,continuous,2,2
100,25,50,0.75,7,15,step,2,2
100,25,50,0.75,7,15,continuous,2,2
100,25,100,0.25,1,5,step,2,2
100,25,100,0.25,1,5,continuous,2,2
100,25,100,0.25,3,10,step,2,1
100,25,100,0.25,3,10,continuous,2,1
100,25,100,0.25,7,15,step,2,2
100,25,100,0.25,7,15,continuous,2,2
100,25,100,0.5,1,5,step,2,2
100,25,100,0.5,1,5,continuous,2,2
100,25,100,0.5,3,10,step,2,2
100,25,100,0.5,3,10,continuous,2,2
100,25,100,0.5,7,15,step,2,2
100,25,100,0.5,7,15,continuous,2,2
100,25,100,0.75,1,5,step,2,2
100,25,100,0.75,1,5,continuous,2,2
100,25,100,0.75,3,10,step,2,2
100,25,100,0.75,3,10,continuous,2,2
100,25,100,0.75,7,15,step,2,2
100,25,100,0.75,7,15,continuous,2,2
100,25,150,0.25,1,5,step,2,2
100,25,150,0.25,1,5,continuous,2,2
100,25,150,0.25,3,10,step,2,1
100,25,150,0.25,3,10,continuous,2,1
100,25,150,0.25,7,15,step,2,2
100,25,150,0.25,7,15,continuous,2,2
100,25,150,0.5,1,5,step,2,2
100,25,150,0.5,1,5,continuous,2,2
100,25,150,0.5,3,10,step,2,2
100,25,150,0.5,3,10,continuous,2,2
100,25,150,0.5,7,15,step,2,2
100,25,150,0.5,7,15,continuous,2,2
100,25,150,0.75,1,5,step,2,2
100,25,150,0.75,1,5,continuous,2,2
100,25,150,0.75,3,10,step,2,2
100,25,150,0.75,3,10,continuous,2,2
100,25,150,0.75,7,15,step,2,2
100,25,150,0.75,7,15,continuous,2,2
500,5,50,0.25,1,5,step,2,2
500,5,50,0.25,1,5,continuous,2,2
500,5,50,0.25,3,10,step,2,2
500,5,50,0.25,3,10,continuous,2,2
500,5,50,0.25,7,15,step,2,2
500,5,50,0.25,7,15,continuous,2,2
500,5,50,0.5,1,5,step,2,2
500,5,50,0.5,1,5,continuous,2,2
500,5,50,0.5,3,10,step,2,2
500,5,50,0.5,3,10,continuous,2,2
500,5,50,0.5,7,15,step,2,2
500,5,50,0.5,7,15,continuous,2,2
500,5,50,0.75,1,5,step,2,2
500,5,50,0.75,1,5,continuous,2,2
500,5,50,0.75,3,10,step,2,2
500,5,50,0.75,3,10,continuous,2,2
500,5,50,0.75,7,15,step,2,2
500,5,50,0.75,7,15,continuous,2,2
500,5,100,0.25,1,5,step,2,2
500,5,100,0.25,1,5,continuous,2,2
500,5,100,0.25,3,10,step,2,2
500,5,100,0.25,3,10,continuous,2,2
500,5,100,0.25,7,15,step,2,2
500,5,100,0.25,7,15,continuous,2,2
500,5,100,0.5,1,5,step,2,2
500,5,100,0.5,1,5,continuous,2,2
500,5,100,0.5,3,10,step,2,2
500,5,100,0.5,3,10,continuous,2,2
500,5,100,0.5,7,15,step,2,2
500,5,100,0.5,7,15,continuous,2,2
500,5,100,0.75,1,5,step,2,2
500,5,100,0.75,1,5,continuous,2,2
500,5,100,0.75,3,10,step,2,2
500,5,100,0.75,3,10,continuous,2,2
500,5,100,0.75,7,15,step,2,2
500,5,100,0.75,7,15,continuous,2,2
500,5,150,0.25,1,5,step,2,2
500,5,150,0.25,1,5,continuous,2,2
500,5,150,0.25,3,10,step,2,2
500,5,150,0.25,3,10,continuous,2,2
500,5,150,0.25,7,15,step,2,2
500,5,150,0.25,7,15,continuous,2,2
500,5,150,0.5,1,5,step,2,2
500,5,150,0.5,1,5,continuous,2,2
500,5,150,0.5,3,10,step,2,2
500,5,150,0.5,3,10,continuous,2,2
500,5,150,0.5,7,15,step,2,2
500,5,150,0.5,7,15,continuous,2,2
500,5,150,0.75,1,5,step,2,2
500,5,150,0.75,1,5,continuous,2,2
500,5,150,0.75,3,10,step,2,2
500,5,150,0.75,3,10,continuous,2,2
500,5,150,0.75,7,15,step,2,2
500,5,150,0.75,7,15,continuous,2,2
500,10,50,0.25,1,5,step,2,2
500,10,50,0.25,1,5,continuous,2,2
500,10,50,0.25,3,10,step,2,2
500,10,50,0.25,3,10,continuous,2,2
500,10,50,0.25,7,15,step,2,2
500,10,50,0.25,7,15,continuous,2,2
500,10,50,0.5,1,5,step,2,2
500,10,50,0.5,1,5,continuous,2,2
500,10,50,0.5,3,10,step,2,2
500,10,50,0.5,3,10,continuous,2,2
500,10,50,0.5,7,15,step,2,2
500,10,50,0.5,7,15,continuous,2,2
500,10,50,0.75,1,5,step,2,2
500,10,50,0.75,1,5,continuous,2,2
500,10,50,0.75,3,10,step,2,2
500,10,50,0.75,3,10,continuous,2,2
500,10,50,0.75,7,15,step,2,2
500,10,50,0.75,7,15,continuous,2,2
500,10,100,0.25,1,5,step,2,2
500,10,100,0.25,1,5,continuous,2,2
500,10,100,0.25,3,10,step,2,2
500,10,100,0.25,3,10,continuous,2,2
500,10,100,0.25,7,15,step,2,2
500,10,100,0.25,7,15,continuous,2,2
500,10,100,0.5,1,5,step,2,2
500,10,100,0.5,1,5,continuous,2,2
500,10,100,0.5,3,10,step,2,2
500,10,100,0.5,3,10,continuous,2,2
500,10,100,0.5,7,15,step,2,2
500,10,100,0.5,7,15,continuous,2,2
500,10,100,0.75,1,5,step,2,2
500,10,100,0.75,1,5,continuous,2,2
500,10,100,0.75,3,10,step,2,2
500,10,100,0.75,3,10,continuous,2,2
500,10,100,0.75,7,15,step,2,2
500,10,100,0.75,7,15,continuous,2,2
500,10,150,0.25,1,5,step,2,2
500,10,150,0.25,1,5,continuous,2,2
500,10,150,0.25,3,10,step,2,2
500,10,150,0.25,3,10,continuous,2,2
500,10,150,0.25,7,15,step,2,2
500,10,150,0.25,7,15,continuous,2,2
500,10,150,0.5,1,5,step,2,2
500,10,150,0.5,1,5,continuous,2,2
500,10,150,0.5,3,10,step,2,2
500,10,150,0.5,3,10,continuous,2,2
500,10,150,0.5,7,15,step,2,2
500,10,150,0.5,7,15,continuous,2,2
500,10,150,0.75,1,5,step,2,2
500,10,150,0.75,1,5,continuous,2,2
500,10,150,0.75,3,10,step,2,2
500,10,150,0.75,3,10,continuous,2,2
500,10,150,0.75,7,15,step,2,2
500,10,150,0.75,7,15,continuous,2,2
500,25,50,0.25,1,5,step,2,2
500,25,50,0.25,1,5,continuous,2,2
500,25,50,0.25,3,10,step,2,2
500,25,50,0.25,3,10,continuous,2,2
500,25,50,0.25,7,15,step,2,2
500,25,50,0.25,7,15,continuous,2,2
500,25,50,0.5,1,5,step,2,2
500,25,50,0.5,1,5,continuous,2,2
500,25,50,0.5,3,10,step,2,2
500,25,50,0.5,3,10,continuous,2,2
500,25,50,0.5,7,15,step,2,2
500,25,50,0.5,7,15,continuous,2,2
500,25,50,0.75,1,5,step,2,2
500,25,50,0.75,1,5,continuous,2,2
500,25,50,0.75,3,10,step,2,2
500,25,50,0.75,3,10,continuous,2,2
500,25,50,0.75,7,15,step,2,2
500,25,50,0.75,7,15,continuous,2,2
500,25,100,0.25,1,5,step,2,2
500,25,100,0.25,1,5,continuous,2,2
500,25,100,0.25,3,10,step,2,2
500,25,100,0.25,3,10,continuous,2,2
500,25,100,0.25,7,15,step,2,2
500,25,100,0.25,7,15,continuous,2,2
500,25,100,0.5,1,5,step,2,2
500,25,100,0.5,1,5,continuous,2,2
500,25,100,0.5,3,10,step,2,2
500,25,100,0.5,3,10,continuous,2,2
500,25,100,0.5,7,15,step,2,2
500,25,100,0.5,7,15,continuous,2,2
500,25,100,0.75,1,5,step,2,2
500,25,100,0.75,1,5,continuous,2,2
500,25,100,0.75,3,10,step,2,2
500,25,100,0.75,3,10,continuous,2,2
500,25,100,0.75,7,15,step,2,2
500,25,100,0.75,7,15,continuous,2,2
500,25,150,0.25,1,5,step,2,2
500,25,150,0.25,1,5,continuous,2,2
500,25,150,0.25,3,10,step,2,2
500,25,150,0.25,3,10,continuous,2,2
500,25,150,0.25,7,15,step,2,2
500,25,150,0.25,7,15,continuous,2,2
500,25,150,0.5,1,5,step,2,2
500,25,150,0.5,1,5,continuous,2,2
500,25,150,0.5,3,10,step,2,2
500,25,150,0.5,3,10,continuous,2,2
500,25,150,0.5,7,15,step,2,2
500,25,150,0.5,7,15,continuous,2,2
500,25,150,0.75,1,5,step,2,2
500,25,150,0.75,1,5,continuous,2,2
500,25,150,0.75,3,10,step,2,2
500,25,150,0.75,3,10,continuous,2,2
500,25,150,0.75,7,15,step,2,2
500,25,150,0.75,7,15,continuous,2,2
1000,5,50,0.25,1,5,step,2,2
1000,5,50,0.25,1,5,continuous,2,2
1000,5,50,0.25,3,10,step,2,2
1000,5,50,0.25,3,10,continuous,2,2
1000,5,50,0.25,7,15,step,2,2
1000,5,50,0.25,7,15,continuous,2,2
1000,5,50,0.5,1,5,step,2,2
1000,5,50,0.5,1,5,continuous,2,2
1000,5,50,0.5,3,10,step,2,2
1000,5,50,0.5,3,10,continuous,2,2
1000,5,50,0.5,7,15,step,2,2
1000,5,50,0.5,7,15,continuous,2,2
1000,5,50,0.75,1,5,step,2,2
1000,5,50,0.75,1,5,continuous,2,2
1000,5,50,0.75,3,10,step,2,2
1000,5,50,0.75,3,10,continuous,2,2
1000,5,50,0.75,7,15,step,2,2
1000,5,50,0.75,7,15,continuous,2,2
1000,5,100,0.25,1,5,step,2,2
1000,5,100,0.25,1,5,continuous,2,2
1000,5,100,0.25,3,10,step,2,2
1000,5,100,0.25,3,10,continuous,2,2
1000,5,100,0.25,7,15,step,2,2
1000,5,100,0.25,7,15,continuous,2,2
1000,5,100,0.5,1,5,step,2,2
1000,5,100,0.5,1,5,continuous,2,2
1000,5,100,0.5,3,10,step,2,2
1000,5,100,0.5,3,10,continuous,2,2
1000,5,100,0.5,7,15,step,2,2
1000,5,100,0.5,7,15,continuous,2,2
1000,5,100,0.75,1,5,step,2,2
1000,5,100,0.75,1,5,continuous,2,2
1000,5,100,0.75,3,10,step,2,2
1000,5,100,0.75,3,10,continuous,2,2
1000,5,100,0.75,7,15,step,2,2
1000,5,100,0.75,7,15,continuous,2,2
