Step,Input,Output,r_a,r_b,r_A
151,a(0),B,0,1,0
152,a(0),B,0,1,0
153,b(0),B,0,0,0
154,a(0),A(0),0,0,0
155,a(0),B,0,0,0
156,b(0),A(0),0,0,0
157,a(0),A(0),0,0,0
158,a(1),B,1,0,0
159,b(0),A(0),1,0,0
160,b(1),B,1,1,0
161,b(0),B,1,0,0
162,b(0),B,1,0,0
163,b(1),A(0),1,1,0
164,a(0),B,0,1,0
165,b(0),A(0),0,0,0
166,b(0),B,0,0,0
167,a(0),B,0,0,0
168,a(1),B,1,0,0
169,b(0),B,1,0,0
170,b(1),B,1,1,0
171,b(0),B,1,0,0
172,b(0),B,1,0,0
173,b(1),A(0),1,1,0
174,a(0),B,0,1,0
175,a(0),B,0,1,0
176,a(0),A(0),0,1,0
177,b(0),A(0),0,0,0
178,a(0),B,0,0,0
179,a(0),B,0,0,0
180,b(0),B,0,0,0
181,a(0),A(0),0,0,0
182,a(1),B,1,0,0
183,b(0),A(0),1,0,0
184,b(1),B,1,1,0
185,b(0),B,1,0,0
186,b(0),B,1,0,0
187,b(1),A(0),1,1,0
188,a(0),B,0,1,0
189,a(0),B,0,1,0
190,b(0),B,0,0,0
191,b(0),B,0,0,0
192,a(0),B,0,0,0
193,a(1),B,1,0,0
194,b(0),B,1,0,0
195,b(1),B,1,1,0
196,b(0),B,1,0,0
197,b(0),B,1,0,0
198,b(1),A(0),1,1,0
199,a(0),B,0,1,0
200,a(0),B,0,1,0
201,a(0),A(0),0,1,0
202,a(0),B,0,1,0
203,b(0),A(0),0,0,0
204,a(0),A(0),0,0,0
205,a(1),B,1,0,0
206,b(0),A(0),1,0,0
207,b(1),B,1,1,0
208,b(0),B,1,0,0
209,b(0),B,1,0,0
210,b(1),A(0),1,1,0
211,a(0),B,0,1,0
212,a(0),B,0,1,0
213,a(0),A(0),0,1,0
214,b(0),A(0),0,0,0
215,b(0),A(0),0,0,0
216,a(0),B,0,0,0
217,a(1),B,1,0,0
218,b(0),B,1,0,0
219,b(1),B,1,1,0
220,b(0),B,1,0,0
221,b(0),B,1,0,0
222,b(1),A(0),1,1,0
223,a(1),B,1,1,0
224,a(1),B,1,1,0
225,a(1),B,1,1,0
226,b(0),A(0),1,0,0
227,a(0),A(0),0,0,0
228,a(0),B,0,0,0
229,b(0),A(0),0,0,0
230,a(0),A(0),0,0,0
231,a(1),B,1,0,0
232,b(0),A(0),1,0,0
233,b(1),B,1,1,0
234,b(0),B,1,0,0
235,b(0),B,1,0,0
236,b(1),A(0),1,1,0
237,a(0),B,0,1,0
238,a(1),B,1,1,0
239,a(1),B,1,1,0
240,a(0),B,0,1,0
241,b(0),B,0,0,0
242,a(0),A(0),0,0,0
243,a(1),B,1,0,0
244,b(0),A(0),1,0,0
245,b(1),B,1,1,0
246,b(0),B,1,0,0
247,b(0),B,1,0,0
248,b(1),A(0),1,1,0
249,a(0),B,0,1,0
250,a(1),B,1,1,0
251,a(1),B,1,1,0
252,b(0),A(0),1,0,0
253,b(0),B,1,0,0
254,a(0),B,0,0,0
255,a(1),B,1,0,0
256,b(0),B,1,0,0
257,b(1),B,1,1,0
258,b(0),B,1,0,0
259,b(0),B,1,0,0
260,b(1),A(0),1,1,0
261,b(1),A(0),1,1,0
262,b(0),B,1,0,0
263,a(0),A(0),0,0,0
264,a(1),B,1,0,0
265,b(0),A(0),1,0,0
266,b(1),B,1,1,0
267,b(0),B,1,0,0
268,b(0),B,1,0,0
269,b(1),A(0),1,1,0
270,a(0),B,0,1,0
271,b(1),A(1),0,1,1
272,a(0),A(1),0,1,1
273,a(1),A(1),1,1,1
274,b(0),B,1,0,1
275,a(0),A(0),0,0,0
276,a(0),B,0,0,0
277,b(0),A(0),0,0,0
278,a(1),A(1),1,0,1
279,b(1),B,1,1,1
280,a(0),A(1),0,1,1
281,a(1),A(1),1,1,1
282,a(0),B,0,1,1
283,b(0),A(0),0,0,0
284,a(0),A(0),0,0,0
285,a(0),B,0,0,0
286,b(0),A(0),0,0,0
287,a(1),A(1),1,0,1
288,b(1),B,1,1,1
289,a(0),A(1),0,1,1
290,a(1),A(1),1,1,1
291,b(0),B,1,0,1
292,b(0),B,1,0,1
293,a(0),B,0,0,1
294,a(0),B,0,0,1
295,b(0),B,0,0,1
296,b(0),B,0,0,1
297,a(0),B,0,0,1
298,a(0),B,0,0,1
299,b(0),B,0,0,1
300,a(0),A(0),0,0,0
301,b(0),B,0,0,0
302,a(0),A(0),0,0,0
303,b(0),B,0,0,0
304,a(1),A(1),1,0,1
305,b(1),B,1,1,1
306,a(0),A(1),0,1,1
307,a(1),A(1),1,1,1
308,a(0),B,0,1,1
309,a(0),B,0,1,1
310,b(0),B,0,0,1
311,a(0),A(0),0,0,0
312,a(0),B,0,0,0
313,b(0),A(0),0,0,0
314,a(1),A(1),1,0,1
315,b(1),B,1,1,1
316,a(0),A(1),0,1,1
317,a(1),A(1),1,1,1
318,a(0),B,0,1,1
319,b(0),A(0),0,0,0
320,b(0),B,0,0,0
321,a(0),B,0,0,0
322,b(0),A(0),0,0,0
323,a(1),A(1),1,0,1
324,b(1),B,1,1,1
325,a(0),A(1),0,1,1
326,a(1),A(1),1,1,1
327,b(0),B,1,0,1
328,a(0),A(0),0,0,0
329,b(0),B,0,0,0
330,a(0),A(0),0,0,0
331,b(0),B,0,0,0
332,a(1),A(1),1,0,1
333,b(1),B,1,1,1
334,a(0),A(1),0,1,1
335,a(1),A(1),1,1,1
336,b(0),B,1,0,1
337,b(0),B,1,0,1
338,b(0),B,1,0,1
339,a(0),A(0),0,0,0
340,a(0),B,0,0,0
341,b(0),A(0),0,0,0
342,a(1),A(1),1,0,1
343,b(1),B,1,1,1
344,a(0),A(1),0,1,1
345,a(1),A(1),1,1,1
346,a(0),B,0,1,1
347,a(0),B,0,1,1
348,a(0),A(0),0,1,0
349,b(0),A(0),0,0,0
350,a(0),B,0,0,0
351,b(0),A(0),0,0,0
352,a(1),A(1),1,0,1
353,b(1),B,1,1,1
354,a(0),A(1),0,1,1
355,a(1),A(1),1,1,1
356,a(0),B,0,1,1
357,a(0),B,0,1,1
358,b(0),B,0,0,1
359,b(0),B,0,0,1
360,a(0),B,0,0,1
361,a(0),B,0,0,1
362,b(0),B,0,0,1
363,b(0),B,0,0,1
364,b(0),A(1),0,0,1
365,a(0),B,0,0,1
366,a(0),B,0,0,1
367,b(0),B,0,0,1
368,b(0),B,0,0,1
369,a(0),B,0,0,1
370,b(0),A(0),0,0,0
371,a(0),A(0),0,0,0
372,a(0),B,0,0,0
373,b(0),A(0),0,0,0
374,a(1),A(1),1,0,1
375,b(1),B,1,1,1
376,a(0),A(1),0,1,1
377,a(1),A(1),1,1,1
378,b(0),B,1,0,1
379,b(0),B,1,0,1
380,a(0),B,0,0,1
381,b(0),A(0),0,0,0
382,a(0),A(0),0,0,0
383,a(0),B,0,0,0
384,b(0),A(0),0,0,0
385,a(1),A(1),1,0,1
386,b(1),B,1,1,1
387,a(0),A(1),0,1,1
388,a(1),A(1),1,1,1
389,b(0),B,1,0,1
390,b(0),B,1,0,1
391,b(0),B,1,0,1
392,b(0),B,1,0,1
393,a(0),B,0,0,1
394,a(0),B,0,0,1
395,b(0),B,0,0,1
396,a(0),A(0),0,0,0
397,a(0),B,0,0,0
398,b(0),A(0),0,0,0
399,a(1),A(1),1,0,1
400,b(1),B,1,1,1
401,a(0),A(1),0,1,1
402,a(1),A(1),1,1,1
403,b(0),B,1,0,1
404,b(0),B,1,0,1
405,a(0),B,0,0,1
406,b(0),A(0),0,0,0
407,b(0),B,0,0,0
408,a(0),B,0,0,0
409,b(0),A(0),0,0,0
410,a(1),A(1),1,0,1
411,b(1),B,1,1,1
412,a(0),A(1),0,1,1
413,a(1),A(1),1,1,1
414,b(0),B,1,0,1
415,b(0),B,1,0,1
416,a(0),B,0,0,1
417,a(0),B,0,0,1
418,a(0),B,0,0,1
419,b(0),A(0),0,0,0
420,a(0),A(0),0,0,0
421,b(1),B,0,1,0
422,a(0),A(1),0,1,1
423,a(1),A(1),1,1,1
424,b(0),B,1,0,1
425,b(0),B,1,0,1
426,a(0),B,0,0,1
427,a(0),B,0,0,1
428,b(0),B,0,0,1
429,b(0),B,0,0,1
430,a(0),B,0,0,1
431,a(0),B,0,0,1
432,b(0),B,0,0,1
433,b(0),B,0,0,1
434,b(0),A(1),0,0,1
435,b(0),A(1),0,0,1
436,a(0),B,0,0,1
437,a(1),B,1,0,1
438,a(1),B,1,0,1
439,b(1),A(0),1,1,0
440,a(1),A(2),1,1,2
441,b(1),B,1,1,2
442,a(0),A(1),0,1,1
443,a(1),A(1),1,1,1
444,a(1),B,1,1,1
445,a(1),B,1,1,1
446,a(1),B,1,1,1
447,b(0),A(0),1,0,0
448,a(0),A(0),0,0,0
449,a(0),B,0,0,0
450,b(0),A(0),0,0,0
451,a(1),A(1),1,0,1
452,b(1),B,1,1,1
453,a(0),A(1),0,1,1
454,a(1),A(1),1,1,1
455,a(1),B,1,1,1
456,a(1),B,1,1,1
457,a(1),B,1,1,1
458,a(0),B,0,1,1
459,b(0),B,0,0,1
460,a(0),A(0),0,0,0
461,b(1),B,0,1,0
462,a(0),A(1),0,1,1
463,a(1),A(1),1,1,1
464,a(1),B,1,1,1
465,a(1),B,1,1,1
466,a(1),B,1,1,1
467,b(0),A(0),1,0,0
468,b(0),B,1,0,0
469,a(0),B,0,0,0
470,b(0),A(0),0,0,0
471,a(1),A(1),1,0,1
472,b(1),B,1,1,1
473,a(0),A(1),0,1,1
474,a(1),A(1),1,1,1
475,b(1),A(1),1,1,1
476,b(0),B,1,0,1
477,a(0),A(0),0,0,0
478,b(1),B,0,1,0
479,a(0),A(1),0,1,1
480,a(1),A(1),1,1,1
481,a(0),B,0,1,1
482,b(1),A(1),0,1,1
483,a(0),A(1),0,1,1
484,a(1),A(1),1,1,1
485,b(0),B,1,0,1
486,a(1),A(1),1,0,1
487,b(1),B,1,1,1
488,a(0),A(1),0,1,1
489,a(1),A(1),1,1,1
490,b(0),B,1,0,1
491,b(1),B,1,1,1
492,a(1),B,1,1,1
493,a(0),B,0,1,1
494,b(1),B,0,1,1
495,a(1),A(2),1,1,2
496,b(1),B,1,1,2
497,a(0),A(1),0,1,1
498,a(1),A(1),1,1,1
499,a(0),B,0,1,1
500,a(0),B,0,1,1
501,b(1),B,0,1,1
502,b(1),B,0,1,1
503,a(1),B,1,1,1
504,a(0),B,0,1,1
505,b(0),B,0,0,1
506,b(0),B,0,0,1
507,b(1),A(1),0,1,1
508,b(0),A(1),0,0,1
509,a(0),B,0,0,1
510,a(0),B,0,0,1
511,b(0),B,0,0,1
512,b(0),B,0,0,1
513,b(1),A(1),0,1,1
514,a(0),B,0,1,1
515,b(0),A(0),0,0,0
516,a(0),A(0),0,0,0
517,b(1),B,0,1,0
518,a(0),A(1),0,1,1
519,a(1),A(1),1,1,1
520,a(0),B,0,1,1
521,a(0),B,0,1,1
522,b(0),B,0,0,1
523,b(0),B,0,0,1
524,b(1),A(1),0,1,1
525,b(0),A(1),0,0,1
526,b(0),A(1),0,0,1
527,a(0),B,0,0,1
528,a(0),B,0,0,1
529,b(0),B,0,0,1
530,b(0),B,0,0,1
531,b(1),A(1),0,1,1
532,b(1),A(1),0,1,1
533,b(1),A(1),0,1,1
534,a(1),B,1,1,1
535,a(1),B,1,1,1
536,a(1),B,1,1,1
537,a(1),B,1,1,1
538,a(1),B,1,1,1
539,b(1),A(1),1,1,1
540,a(0),A(1),0,1,1
541,a(1),A(1),1,1,1
542,a(0),B,0,1,1
543,a(0),B,0,1,1
544,a(0),A(0),0,1,0
545,a(1),B,1,1,0
546,a(0),B,0,1,0
547,b(1),B,0,1,0
548,a(0),A(1),0,1,1
549,a(1),A(1),1,1,1
550,b(0),B,1,0,1
551,b(0),B,1,0,1
552,b(1),A(1),1,1,1
553,b(0),B,1,0,1
554,a(0),A(0),0,0,0
555,a(1),B,1,0,0
556,b(0),A(0),1,0,0
557,b(1),B,1,1,0
558,b(0),B,1,0,0
559,b(0),B,1,0,0
560,b(1),A(0),1,1,0
561,a(0),B,0,1,0
562,a(1),B,1,1,0
563,a(1),B,1,1,0
564,a(1),B,1,1,0
565,a(1),B,1,1,0
566,b(1),A(1),1,1,1
567,a(0),A(1),0,1,1
568,b(1),B,0,1,1
569,a(0),A(1),0,1,1
570,a(1),A(1),1,1,1
571,a(0),B,0,1,1
572,a(0),B,0,1,1
573,a(1),A(1),1,1,1
574,b(0),B,1,0,1
575,b(0),B,1,0,1
576,a(0),B,0,0,1
577,a(0),B,0,0,1
578,b(0),B,0,0,1
579,b(1),B,0,1,1
580,a(0),B,0,1,1
581,a(0),B,0,1,1
582,a(0),A(0),0,1,0
583,b(0),A(0),0,0,0
584,a(0),B,0,0,0
