Step;Input;Output;r0;r1;r2;r3
50;coin(100);Reject(100);coffee;100;100;100
51;coin(10);Reject(10);coffee;10;100;100
52;coin(100);Reject(100);coffee;100;100;100
53;coin(10);Reject(10);coffee;10;100;100
54;vend;Serv(coffee,0,0);coffee;10;0;0
55;select(coffee);Beverage(coffee,0,100);coffee;10;0;100
56;coin(10);Display(10);coffee;10;10;100
57;coin(10);Display(20);coffee;10;20;100
58;coin(100);Reject(100);coffee;100;20;100
59;coin(50);Display(70);coffee;50;70;100
60;vend;omega;coffee;50;70;100
61;coin(50);Reject(50);coffee;50;70;100
62;coin(50);Reject(50);coffee;50;70;100
63;coin(100);Reject(100);coffee;100;70;100
64;coin(10);Display(80);coffee;10;80;100
65;coin(10);Display(90);coffee;10;90;100
66;vend;omega;coffee;10;90;100
67;coin(200);Reject(200);coffee;200;90;100
68;coin(10);Display(100);coffee;10;100;100
69;vend;Serv(coffee,0,0);coffee;10;0;0
70;select(coffee);Beverage(coffee,0,100);coffee;10;0;100
71;coin(50);Display(50);coffee;50;50;100
72;coin(10);Display(60);coffee;10;60;100
73;coin(100);Reject(100);coffee;100;60;100
74;coin(50);Reject(50);coffee;50;60;100
75;coin(50);Reject(50);coffee;50;60;100
76;coin(50);Reject(50);coffee;50;60;100
77;coin(200);Reject(200);coffee;200;60;100
78;coin(50);Reject(50);coffee;50;60;100
79;vend;omega;coffee;50;60;100
80;coin(200);Reject(200);coffee;200;60;100
81;vend;omega;coffee;200;60;100
82;vend;omega;coffee;200;60;100
83;vend;omega;coffee;200;60;100
84;coin(200);Reject(200);coffee;200;60;100
85;coin(100);Reject(100);coffee;100;60;100
86;coin(50);Reject(50);coffee;50;60;100
87;coin(50);Reject(50);coffee;50;60;100
88;coin(100);Reject(100);coffee;100;60;100
89;coin(10);Display(70);coffee;10;70;100
90;coin(10);Display(80);coffee;10;80;100
91;coin(200);Reject(200);coffee;200;80;100
92;vend;omega;coffee;200;80;100
93;vend;omega;coffee;200;80;100
94;coin(200);Reject(200);coffee;200;80;100
95;vend;omega;coffee;200;80;100
96;vend;omega;coffee;200;80;100
97;coin(200);Reject(200);coffee;200;80;100
98;coin(50);Reject(50);coffee;50;80;100
99;coin(50);Reject(50);coffee;50;80;100
100;coin(50);Reject(50);coffee;50;80;100
101;vend;omega;coffee;50;80;100
102;coin(50);Reject(50);coffee;50;80;100
103;coin(10);Display(90);coffee;10;90;100
104;vend;omega;coffee;10;90;100
105;coin(100);Reject(100);coffee;100;90;100
106;coin(50);Reject(50);coffee;50;90;100
107;coin(50);Reject(50);coffee;50;90;100
108;coin(200);Reject(200);coffee;200;90;100
109;vend;omega;coffee;200;90;100
110;coin(10);Display(100);coffee;10;100;100
111;coin(200);Reject(200);coffee;200;100;100
112;coin(100);Reject(100);coffee;100;100;100
113;coin(10);Reject(10);coffee;10;100;100
114;vend;Serv(coffee,0,0);coffee;10;0;0
115;select(coffee);Beverage(coffee,0,100);coffee;10;0;100
116;vend;omega;coffee;10;0;100
117;coin(50);Display(50);coffee;50;50;100
118;vend;omega;coffee;50;50;100
119;coin(10);Display(60);coffee;10;60;100
120;coin(10);Display(70);coffee;10;70;100
121;vend;omega;coffee;10;70;100
122;coin(50);Reject(50);coffee;50;70;100
123;vend;omega;coffee;50;70;100
124;coin(50);Reject(50);coffee;50;70;100
125;vend;omega;coffee;50;70;100
126;coin(100);Reject(100);coffee;100;70;100
127;coin(10);Display(80);coffee;10;80;100
128;coin(50);Reject(50);coffee;50;80;100
129;coin(100);Reject(100);coffee;100;80;100
130;coin(100);Reject(100);coffee;100;80;100
131;vend;omega;coffee;100;80;100
132;coin(200);Reject(200);coffee;200;80;100
133;coin(10);Display(90);coffee;10;90;100
134;coin(10);Display(100);coffee;10;100;100
135;vend;Serv(coffee,0,0);coffee;10;0;0
136;select(coffee);Beverage(coffee,0,100);coffee;10;0;100
137;coin(10);Display(10);coffee;10;10;100
138;coin(200);Reject(200);coffee;200;10;100
139;coin(50);Display(60);coffee;50;60;100
140;coin(100);Reject(100);coffee;100;60;100
141;coin(100);Reject(100);coffee;100;60;100
142;vend;omega;coffee;100;60;100
143;coin(100);Reject(100);coffee;100;60;100
144;coin(10);Display(70);coffee;10;70;100
145;coin(200);Reject(200);coffee;200;70;100
146;coin(200);Reject(200);coffee;200;70;100
147;coin(50);Reject(50);coffee;50;70;100
148;coin(100);Reject(100);coffee;100;70;100
149;coin(50);Reject(50);coffee;50;70;100
150;vend;omega;coffee;50;70;100
151;coin(50);Reject(50);coffee;50;70;100
152;vend;omega;coffee;50;70;100
153;vend;omega;coffee;50;70;100
154;coin(200);Reject(200);coffee;200;70;100
155;coin(100);Reject(100);coffee;100;70;100
156;coin(100);Reject(100);coffee;100;70;100
157;coin(10);Display(80);coffee;10;80;100
158;coin(10);Display(90);coffee;10;90;100
159;coin(10);Display(100);coffee;10;100;100
160;coin(50);Reject(50);coffee;50;100;100
161;coin(200);Reject(200);coffee;200;100;100
162;vend;Serv(coffee,0,0);coffee;200;0;0
163;select(coffee);Beverage(coffee,0,100);coffee;200;0;100
164;coin(200);Reject(200);coffee;200;0;100
165;coin(100);Display(100);coffee;100;100;100
166;vend;Serv(coffee,0,0);coffee;100;0;0
167;select(coffee);Beverage(coffee,0,100);coffee;100;0;100
168;coin(100);Display(100);coffee;100;100;100
169;coin(100);Reject(100);coffee;100;100;100
170;coin(100);Reject(100);coffee;100;100;100
171;coin(200);Reject(200);coffee;200;100;100
172;coin(10);Reject(10);coffee;10;100;100
173;coin(10);Reject(10);coffee;10;100;100
174;coin(10);Reject(10);coffee;10;100;100
175;coin(50);Reject(50);coffee;50;100;100
176;coin(100);Reject(100);coffee;100;100;100
177;coin(50);Reject(50);coffee;50;100;100
178;coin(200);Reject(200);coffee;200;100;100
179;coin(50);Reject(50);coffee;50;100;100
180;coin(100);Reject(100);coffee;100;100;100
181;coin(100);Reject(100);coffee;100;100;100
182;coin(200);Reject(200);coffee;200;100;100
183;coin(200);Reject(200);coffee;200;100;100
184;coin(200);Reject(200);coffee;200;100;100
185;coin(10);Reject(10);coffee;10;100;100
186;coin(200);Reject(200);coffee;200;100;100
187;coin(10);Reject(10);coffee;10;100;100
188;vend;Serv(coffee,0,0);coffee;10;0;0
189;select(coffee);Beverage(coffee,0,100);coffee;10;0;100
190;coin(50);Display(50);coffee;50;50;100
191;vend;omega;coffee;50;50;100
192;coin(10);Display(60);coffee;10;60;100
193;coin(50);Reject(50);coffee;50;60;100
194;coin(50);Reject(50);coffee;50;60;100
195;coin(10);Display(70);coffee;10;70;100
196;coin(50);Reject(50);coffee;50;70;100
197;coin(10);Display(80);coffee;10;80;100
198;coin(10);Display(90);coffee;10;90;100
199;coin(100);Reject(100);coffee;100;90;100
200;coin(50);Reject(50);coffee;50;90;100
201;vend;omega;coffee;50;90;100
202;vend;omega;coffee;50;90;100
203;coin(200);Reject(200);coffee;200;90;100
204;coin(100);Reject(100);coffee;100;90;100
205;coin(50);Reject(50);coffee;50;90;100
206;coin(100);Reject(100);coffee;100;90;100
207;coin(200);Reject(200);coffee;200;90;100
208;coin(100);Reject(100);coffee;100;90;100
209;coin(50);Reject(50);coffee;50;90;100
210;coin(100);Reject(100);coffee;100;90;100
211;coin(50);Reject(50);coffee;50;90;100
212;coin(10);Display(100);coffee;10;100;100
213;coin(10);Reject(10);coffee;10;100;100
214;coin(100);Reject(100);coffee;100;100;100
215;coin(10);Reject(10);coffee;10;100;100
216;coin(200);Reject(200);coffee;200;100;100
217;coin(10);Reject(10);coffee;10;100;100
218;coin(100);Reject(100);coffee;100;100;100
219;coin(200);Reject(200);coffee;200;100;100
220;vend;Serv(coffee,0,0);coffee;200;0;0
221;select(coffee);Beverage(coffee,0,100);coffee;200;0;100
222;coin(200);Reject(200);coffee;200;0;100
223;coin(10);Display(10);coffee;10;10;100
224;coin(200);Reject(200);coffee;200;10;100
225;coin(100);Reject(100);coffee;100;10;100
226;coin(10);Display(20);coffee;10;20;100
227;vend;omega;coffee;10;20;100
228;coin(200);Reject(200);coffee;200;20;100
229;coin(50);Display(70);coffee;50;70;100
230;coin(10);Display(80);coffee;10;80;100
231;vend;omega;coffee;10;80;100
232;coin(10);Display(90);coffee;10;90;100
233;coin(100);Reject(100);coffee;100;90;100
234;coin(50);Reject(50);coffee;50;90;100
235;vend;omega;coffee;50;90;100
236;coin(100);Reject(100);coffee;100;90;100
237;coin(100);Reject(100);coffee;100;90;100
238;coin(200);Reject(200);coffee;200;90;100
239;coin(100);Reject(100);coffee;100;90;100
240;coin(100);Reject(100);coffee;100;90;100
241;coin(10);Display(100);coffee;10;100;100
242;coin(200);Reject(200);coffee;200;100;100
243;vend;Serv(coffee,0,0);coffee;200;0;0
244;select(coffee);Beverage(coffee,0,100);coffee;200;0;100
245;coin(200);Reject(200);coffee;200;0;100
246;coin(100);Display(100);coffee;100;100;100
247;coin(200);Reject(200);coffee;200;100;100
248;coin(200);Reject(200);coffee;200;100;100
249;coin(100);Reject(100);coffee;100;100;100
250;coin(50);Reject(50);coffee;50;100;100
251;coin(50);Reject(50);coffee;50;100;100
252;coin(200);Reject(200);coffee;200;100;100
253;vend;Serv(coffee,0,0);coffee;200;0;0
254;select(coffee);Beverage(coffee,0,100);coffee;200;0;100
255;coin(200);Reject(200);coffee;200;0;100
256;coin(10);Display(10);coffee;10;10;100
257;coin(50);Display(60);coffee;50;60;100
258;coin(50);Reject(50);coffee;50;60;100
259;coin(10);Display(70);coffee;10;70;100
260;coin(200);Reject(200);coffee;200;70;100
261;coin(100);Reject(100);coffee;100;70;100
262;coin(200);Reject(200);coffee;200;70;100
263;coin(50);Reject(50);coffee;50;70;100
264;coin(200);Reject(200);coffee;200;70;100
265;vend;omega;coffee;200;70;100
266;vend;omega;coffee;200;70;100
267;vend;omega;coffee;200;70;100
268;coin(200);Reject(200);coffee;200;70;100
269;coin(50);Reject(50);coffee;50;70;100
270;coin(200);Reject(200);coffee;200;70;100
271;vend;omega;coffee;200;70;100
272;coin(200);Reject(200);coffee;200;70;100
273;coin(50);Reject(50);coffee;50;70;100
274;coin(200);Reject(200);coffee;200;70;100
275;vend;omega;coffee;200;70;100
276;coin(200);Reject(200);coffee;200;70;100
277;coin(200);Reject(200);coffee;200;70;100
278;coin(200);Reject(200);coffee;200;70;100
279;coin(200);Reject(200);coffee;200;70;100
280;coin(200);Reject(200);coffee;200;70;100
281;coin(10);Display(80);coffee;10;80;100
282;coin(50);Reject(50);coffee;50;80;100
283;coin(50);Reject(50);coffee;50;80;100
284;coin(200);Reject(200);coffee;200;80;100
285;coin(200);Reject(200);coffee;200;80;100
286;coin(10);Display(90);coffee;10;90;100
287;coin(50);Reject(50);coffee;50;90;100
288;coin(100);Reject(100);coffee;100;90;100
289;coin(10);Display(100);coffee;10;100;100
290;coin(50);Reject(50);coffee;50;100;100
291;coin(200);Reject(200);coffee;200;100;100
292;coin(10);Reject(10);coffee;10;100;100
293;vend;Serv(coffee,0,0);coffee;10;0;0
294;select(coffee);Beverage(coffee,0,100);coffee;10;0;100
295;coin(200);Reject(200);coffee;200;0;100
296;coin(10);Display(10);coffee;10;10;100
297;coin(10);Display(20);coffee;10;20;100
298;vend;omega;coffee;10;20;100
299;coin(100);Reject(100);coffee;100;20;100
300;coin(50);Display(70);coffee;50;70;100
301;coin(10);Display(80);coffee;10;80;100
302;coin(50);Reject(50);coffee;50;80;100
303;coin(100);Reject(100);coffee;100;80;100
304;coin(200);Reject(200);coffee;200;80;100
305;coin(100);Reject(100);coffee;100;80;100
306;vend;omega;coffee;100;80;100
307;coin(10);Display(90);coffee;10;90;100
308;coin(100);Reject(100);coffee;100;90;100
309;coin(100);Reject(100);coffee;100;90;100
310;coin(50);Reject(50);coffee;50;90;100
311;coin(10);Display(100);coffee;10;100;100
312;vend;Serv(coffee,0,0);coffee;10;0;0
313;select(coffee);Beverage(coffee,0,100);coffee;10;0;100
314;coin(200);Reject(200);coffee;200;0;100
315;coin(10);Display(10);coffee;10;10;100
316;coin(50);Display(60);coffee;50;60;100
317;coin(50);Reject(50);coffee;50;60;100
318;vend;omega;coffee;50;60;100
319;vend;omega;coffee;50;60;100
320;coin(50);Reject(50);coffee;50;60;100
321;coin(200);Reject(200);coffee;200;60;100
322;vend;omega;coffee;200;60;100
323;coin(10);Display(70);coffee;10;70;100
324;coin(200);Reject(200);coffee;200;70;100
325;coin(50);Reject(50);coffee;50;70;100
326;coin(200);Reject(200);coffee;200;70;100
327;vend;omega;coffee;200;70;100
328;coin(100);Reject(100);coffee;100;70;100
329;coin(100);Reject(100);coffee;100;70;100
330;coin(50);Reject(50);coffee;50;70;100
331;coin(100);Reject(100);coffee;100;70;100
332;vend;omega;coffee;100;70;100
333;vend;omega;coffee;100;70;100
334;coin(10);Display(80);coffee;10;80;100
335;vend;omega;coffee;10;80;100
336;coin(100);Reject(100);coffee;100;80;100
337;coin(10);Display(90);coffee;10;90;100
338;coin(100);Reject(100);coffee;100;90;100
339;vend;omega;coffee;100;90;100
340;coin(50);Reject(50);coffee;50;90;100
341;vend;omega;coffee;50;90;100
342;coin(50);Reject(50);coffee;50;90;100
343;coin(50);Reject(50);coffee;50;90;100
344;coin(200);Reject(200);coffee;200;90;100
345;vend;omega;coffee;200;90;100
346;coin(50);Reject(50);coffee;50;90;100
347;coin(10);Display(100);coffee;10;100;100
348;coin(50);Reject(50);coffee;50;100;100
349;coin(50);Reject(50);coffee;50;100;100
350;coin(100);Reject(100);coffee;100;100;100
351;vend;Serv(coffee,0,0);coffee;100;0;0
352;select(coffee);Beverage(coffee,0,100);coffee;100;0;100
353;vend;omega;coffee;100;0;100
354;coin(100);Display(100);coffee;100;100;100
355;coin(100);Reject(100);coffee;100;100;100
356;coin(200);Reject(200);coffee;200;100;100
357;vend;Serv(coffee,0,0);coffee;200;0;0
358;select(coffee);Beverage(coffee,0,100);coffee;200;0;100
359;coin(200);Reject(200);coffee;200;0;100
360;coin(10);Display(10);coffee;10;10;100
361;coin(10);Display(20);coffee;10;20;100
362;coin(10);Display(30);coffee;10;30;100
363;coin(10);Display(40);coffee;10;40;100
364;coin(50);Display(90);coffee;50;90;100
365;vend;omega;coffee;50;90;100
366;coin(50);Reject(50);coffee;50;90;100
367;coin(100);Reject(100);coffee;100;90;100
368;vend;omega;coffee;100;90;100
369;coin(100);Reject(100);coffee;100;90;100
370;coin(100);Reject(100);coffee;100;90;100
371;vend;omega;coffee;100;90;100
372;coin(50);Reject(50);coffee;50;90;100
373;vend;omega;coffee;50;90;100
374;coin(200);Reject(200);coffee;200;90;100
375;coin(100);Reject(100);coffee;100;90;100
376;coin(50);Reject(50);coffee;50;90;100
377;vend;omega;coffee;50;90;100
378;coin(10);Display(100);coffee;10;100;100
379;coin(100);Reject(100);coffee;100;100;100
380;coin(10);Reject(10);coffee;10;100;100
381;vend;Serv(coffee,0,0);coffee;10;0;0
382;select(coffee);Beverage(coffee,0,100);coffee;10;0;100
383;coin(100);Display(100);coffee;100;100;100
384;coin(50);Reject(50);coffee;50;100;100
385;coin(100);Reject(100);coffee;100;100;100
386;coin(100);Reject(100);coffee;100;100;100
387;coin(50);Reject(50);coffee;50;100;100
388;vend;Serv(coffee,0,0);coffee;50;0;0
389;select(coffee);Beverage(coffee,0,100);coffee;50;0;100
390;coin(100);Display(100);coffee;100;100;100
391;coin(100);Reject(100);coffee;100;100;100
392;coin(50);Reject(50);coffee;50;100;100
393;vend;Serv(coffee,0,0);coffee;50;0;0
394;select(coffee);Beverage(coffee,0,100);coffee;50;0;100
395;coin(200);Reject(200);coffee;200;0;100
396;coin(100);Display(100);coffee;100;100;100
397;coin(200);Reject(200);coffee;200;100;100
398;coin(200);Reject(200);coffee;200;100;100
399;vend;Serv(coffee,0,0);coffee;200;0;0
400;select(coffee);Beverage(coffee,0,100);coffee;200;0;100
401;coin(200);Reject(200);coffee;200;0;100
402;coin(10);Display(10);coffee;10;10;100
403;coin(10);Display(20);coffee;10;20;100
404;coin(100);Reject(100);coffee;100;20;100
405;coin(10);Display(30);coffee;10;30;100
406;vend;omega;coffee;10;30;100
407;coin(200);Reject(200);coffee;200;30;100
408;coin(50);Display(80);coffee;50;80;100
409;vend;omega;coffee;50;80;100
410;coin(200);Reject(200);coffee;200;80;100
411;coin(200);Reject(200);coffee;200;80;100
412;coin(10);Display(90);coffee;10;90;100
413;coin(100);Reject(100);coffee;100;90;100
414;coin(10);Display(100);coffee;10;100;100
415;vend;Serv(coffee,0,0);coffee;10;0;0
416;select(coffee);Beverage(coffee,0,100);coffee;10;0;100
417;coin(10);Display(10);coffee;10;10;100
418;vend;omega;coffee;10;10;100
419;coin(200);Reject(200);coffee;200;10;100
420;coin(200);Reject(200);coffee;200;10;100
421;vend;omega;coffee;200;10;100
422;coin(50);Display(60);coffee;50;60;100
423;coin(10);Display(70);coffee;10;70;100
424;coin(10);Display(80);coffee;10;80;100
425;coin(200);Reject(200);coffee;200;80;100
426;coin(10);Display(90);coffee;10;90;100
427;coin(10);Display(100);coffee;10;100;100
428;coin(200);Reject(200);coffee;200;100;100
429;coin(200);Reject(200);coffee;200;100;100
430;coin(50);Reject(50);coffee;50;100;100
431;coin(10);Reject(10);coffee;10;100;100
432;vend;Serv(coffee,0,0);coffee;10;0;0
433;select(coffee);Beverage(coffee,0,100);coffee;10;0;100
434;coin(100);Display(100);coffee;100;100;100
435;coin(50);Reject(50);coffee;50;100;100
436;coin(200);Reject(200);coffee;200;100;100
437;coin(200);Reject(200);coffee;200;100;100
438;coin(10);Reject(10);coffee;10;100;100
439;coin(100);Reject(100);coffee;100;100;100
440;coin(50);Reject(50);coffee;50;100;100
441;coin(100);Reject(100);coffee;100;100;100
442;coin(200);Reject(200);coffee;200;100;100
443;vend;Serv(coffee,0,0);coffee;200;0;0
444;select(coffee);Beverage(coffee,0,100);coffee;200;0;100
445;coin(200);Reject(200);coffee;200;0;100
446;coin(10);Display(10);coffee;10;10;100
447;coin(50);Display(60);coffee;50;60;100
448;coin(50);Reject(50);coffee;50;60;100
449;vend;omega;coffee;50;60;100
450;coin(200);Reject(200);coffee;200;60;100
451;coin(200);Reject(200);coffee;200;60;100
452;coin(200);Reject(200);coffee;200;60;100
453;coin(100);Reject(100);coffee;100;60;100
454;coin(200);Reject(200);coffee;200;60;100
455;coin(200);Reject(200);coffee;200;60;100
456;vend;omega;coffee;200;60;100
457;vend;omega;coffee;200;60;100
458;coin(50);Reject(50);coffee;50;60;100
459;coin(100);Reject(100);coffee;100;60;100
460;coin(100);Reject(100);coffee;100;60;100
461;coin(200);Reject(200);coffee;200;60;100
462;coin(50);Reject(50);coffee;50;60;100
463;coin(100);Reject(100);coffee;100;60;100
464;vend;omega;coffee;100;60;100
465;coin(10);Display(70);coffee;10;70;100
466;vend;omega;coffee;10;70;100
467;coin(50);Reject(50);coffee;50;70;100
468;coin(50);Reject(50);coffee;50;70;100
469;coin(200);Reject(200);coffee;200;70;100
470;coin(50);Reject(50);coffee;50;70;100
471;coin(50);Reject(50);coffee;50;70;100
472;coin(10);Display(80);coffee;10;80;100
473;vend;omega;coffee;10;80;100
474;vend;omega;coffee;10;80;100
475;vend;omega;coffee;10;80;100
476;coin(200);Reject(200);coffee;200;80;100
477;coin(100);Reject(100);coffee;100;80;100
478;coin(100);Reject(100);coffee;100;80;100
479;coin(100);Reject(100);coffee;100;80;100
480;vend;omega;coffee;100;80;100
481;vend;omega;coffee;100;80;100
482;coin(50);Reject(50);coffee;50;80;100
483;coin(200);Reject(200);coffee;200;80;100
484;coin(50);Reject(50);coffee;50;80;100
485;coin(10);Display(90);coffee;10;90;100
486;coin(50);Reject(50);coffee;50;90;100
487;vend;omega;coffee;50;90;100
488;coin(200);Reject(200);coffee;200;90;100
489;coin(50);Reject(50);coffee;50;90;100
490;coin(100);Reject(100);coffee;100;90;100
491;coin(100);Reject(100);coffee;100;90;100
492;vend;omega;coffee;100;90;100
493;coin(100);Reject(100);coffee;100;90;100
494;coin(200);Reject(200);coffee;200;90;100
495;vend;omega;coffee;200;90;100
496;coin(10);Display(100);coffee;10;100;100
497;coin(10);Reject(10);coffee;10;100;100
498;coin(10);Reject(10);coffee;10;100;100
499;coin(200);Reject(200);coffee;200;100;100
500;coin(200);Reject(200);coffee;200;100;100
501;coin(50);Reject(50);coffee;50;100;100
502;coin(100);Reject(100);coffee;100;100;100
503;vend;Serv(coffee,0,0);coffee;100;0;0
504;select(coffee);Beverage(coffee,0,100);coffee;100;0;100
505;vend;omega;coffee;100;0;100
506;coin(200);Reject(200);coffee;200;0;100
507;coin(50);Display(50);coffee;50;50;100
508;coin(100);Reject(100);coffee;100;50;100
509;coin(10);Display(60);coffee;10;60;100
510;coin(200);Reject(200);coffee;200;60;100
511;coin(200);Reject(200);coffee;200;60;100
512;coin(100);Reject(100);coffee;100;60;100
513;coin(100);Reject(100);coffee;100;60;100
514;coin(10);Display(70);coffee;10;70;100
515;coin(10);Display(80);coffee;10;80;100
516;coin(200);Reject(200);coffee;200;80;100
517;coin(50);Reject(50);coffee;50;80;100
518;coin(50);Reject(50);coffee;50;80;100
519;coin(100);Reject(100);coffee;100;80;100
520;coin(10);Display(90);coffee;10;90;100
521;vend;omega;coffee;10;90;100
522;coin(10);Display(100);coffee;10;100;100
523;coin(10);Reject(10);coffee;10;100;100
524;vend;Serv(coffee,0,0);coffee;10;0;0
525;select(coffee);Beverage(coffee,0,100);coffee;10;0;100
526;vend;omega;coffee;10;0;100
527;coin(10);Display(10);coffee;10;10;100
528;coin(10);Display(20);coffee;10;20;100
529;coin(200);Reject(200);coffee;200;20;100
530;coin(200);Reject(200);coffee;200;20;100
531;coin(50);Display(70);coffee;50;70;100
532;coin(50);Reject(50);coffee;50;70;100
533;coin(50);Reject(50);coffee;50;70;100
534;coin(10);Display(80);coffee;10;80;100
535;coin(100);Reject(100);coffee;100;80;100
536;vend;omega;coffee;100;80;100
537;coin(100);Reject(100);coffee;100;80;100
538;coin(200);Reject(200);coffee;200;80;100
539;coin(10);Display(90);coffee;10;90;100
540;coin(10);Display(100);coffee;10;100;100
541;coin(10);Reject(10);coffee;10;100;100
542;vend;Serv(coffee,0,0);coffee;10;0;0
543;select(coffee);Beverage(coffee,0,100);coffee;10;0;100
544;coin(100);Display(100);coffee;100;100;100
545;coin(100);Reject(100);coffee;100;100;100
546;coin(10);Reject(10);coffee;10;100;100
547;coin(10);Reject(10);coffee;10;100;100
548;coin(10);Reject(10);coffee;10;100;100
549;coin(10);Reject(10);coffee;10;100;100
550;vend;Serv(coffee,0,0);coffee;10;0;0
551;select(coffee);Beverage(coffee,0,100);coffee;10;0;100
552;coin(50);Display(50);coffee;50;50;100
553;coin(200);Reject(200);coffee;200;50;100
554;coin(200);Reject(200);coffee;200;50;100
555;coin(100);Reject(100);coffee;100;50;100
556;coin(100);Reject(100);coffee;100;50;100
557;vend;omega;coffee;100;50;100
558;coin(10);Display(60);coffee;10;60;100
559;coin(200);Reject(200);coffee;200;60;100
560;coin(10);Display(70);coffee;10;70;100
561;vend;omega;coffee;10;70;100
562;coin(50);Reject(50);coffee;50;70;100
563;vend;omega;coffee;50;70;100
564;coin(200);Reject(200);coffee;200;70;100
565;coin(10);Display(80);coffee;10;80;100
566;coin(200);Reject(200);coffee;200;80;100
567;coin(50);Reject(50);coffee;50;80;100
568;coin(50);Reject(50);coffee;50;80;100
569;vend;omega;coffee;50;80;100
570;coin(10);Display(90);coffee;10;90;100
571;coin(100);Reject(100);coffee;100;90;100
572;coin(100);Reject(100);coffee;100;90;100
573;coin(10);Display(100);coffee;10;100;100
574;coin(100);Reject(100);coffee;100;100;100
575;vend;Serv(coffee,0,0);coffee;100;0;0
576;select(coffee);Beverage(coffee,0,100);coffee;100;0;100
577;coin(10);Display(10);coffee;10;10;100
578;coin(50);Display(60);coffee;50;60;100
579;coin(200);Reject(200);coffee;200;60;100
580;coin(100);Reject(100);coffee;100;60;100
581;coin(10);Display(70);coffee;10;70;100
582;coin(10);Display(80);coffee;10;80;100
583;coin(50);Reject(50);coffee;50;80;100
584;vend;omega;coffee;50;80;100
585;coin(10);Display(90);coffee;10;90;100
586;vend;omega;coffee;10;90;100
587;vend;omega;coffee;10;90;100
588;coin(50);Reject(50);coffee;50;90;100
589;vend;omega;coffee;50;90;100
590;coin(200);Reject(200);coffee;200;90;100
591;coin(100);Reject(100);coffee;100;90;100
592;coin(100);Reject(100);coffee;100;90;100
593;coin(100);Reject(100);coffee;100;90;100
594;coin(200);Reject(200);coffee;200;90;100
595;vend;omega;coffee;200;90;100
596;coin(10);Display(100);coffee;10;100;100
597;coin(10);Reject(10);coffee;10;100;100
598;coin(10);Reject(10);coffee;10;100;100
599;coin(50);Reject(50);coffee;50;100;100
600;coin(10);Reject(10);coffee;10;100;100
601;coin(10);Reject(10);coffee;10;100;100
602;coin(10);Reject(10);coffee;10;100;100
603;coin(200);Reject(200);coffee;200;100;100
604;coin(200);Reject(200);coffee;200;100;100
605;coin(100);Reject(100);coffee;100;100;100
606;coin(50);Reject(50);coffee;50;100;100
607;coin(50);Reject(50);coffee;50;100;100
608;vend;Serv(coffee,0,0);coffee;50;0;0
609;select(coffee);Beverage(coffee,0,100);coffee;50;0;100
610;coin(100);Display(100);coffee;100;100;100
611;coin(50);Reject(50);coffee;50;100;100
612;vend;Serv(coffee,0,0);coffee;50;0;0
613;select(coffee);Beverage(coffee,0,100);coffee;50;0;100
614;coin(10);Display(10);coffee;10;10;100
